symbol,name,sector,industry,pe,pb,roe,roce,npm,sales_growth,profit_growth,debt_equity,promoter_holding,institutional_holding,pledged_pct,dividend_yield,market_cap,week52_high,week52_low,status
ABB,ABB India Limited,Industrials,Capital Goods,93.395325,18.47034,21.3,28.5,22.3,0.8,276.0,0.01,75.0,13.4,0.0,0.58,144733.0,7822.5,4637.5,ok
ADANIENSOL,Adani Energy Solutions Limited,Utilities,Power,88.807976,7.778618,9.0,8.4,8.3,16.8,3.5,1.95,72.73,21.1,,,197791.0,1712.0,744.9,ok
ADANIENT,Adani Enterprises Limited,Energy,Metals & Mining,42.1643,5.0257893,11.4,9.8,9.3,20.3,,1.2,74.67,16.4,,0.04,447710.0,3245.0,1753.0,ok
ADANIGREEN,Adani Green Energy Limited,Utilities,Power,158.0166,12.993766,7.9,6.3,12.7,14.3,209.8,3.47,62.43,9.9,0.0,,250651.0,1589.1,765.0,ok
ADANIPORTS,Adani Ports and Special Economic Zone Limited,Industrials,Services,31.306887,4.377003,13.3,11.0,33.1,26.5,3.6,0.64,68.02,21.2,0.0,0.42,420012.0,1891.1,1290.5,ok
ADANIPOWER,Adani Power Limited,Utilities,Power,32.968277,6.481454,19.7,15.1,23.7,-0.1,88.8,0.82,74.96,18.4,,,420888.0,254.2,110.45,ok
AMBUJACEM,Ambuja Cements Limited,Basic Materials,Construction Materials,22.635658,1.8242779,8.0,4.6,11.6,7.2,74.9,0.01,67.33,22.3,0.0,0.47,108835.0,624.95,394.0,ok
APOLLOHOSP,Apollo Hospitals Enterprise Limited,Healthcare,Healthcare,65.17062,13.321304,20.5,19.8,7.7,18.1,35.6,0.85,28.02,48.5,,0.23,126315.0,8950.0,6696.5,ok
ASIANPAINT,Asian Paints Limited,Basic Materials,Consumer Durables,59.2609,12.019371,20.2,24.4,12.2,10.6,69.2,0.18,52.63,28.2,,1.03,256725.0,2985.7,2115.0,ok
DMART,Avenue Supermarts Limited,Consumer Defensive,Consumer Services,88.186554,10.813729,12.1,16.4,4.3,18.9,19.6,0.1,74.51,13.2,,,265164.0,4949.5,3529.0,ok
AXISBANK,Axis Bank Limited,Financial Services,Financial Services,15.623964,1.9073802,12.3,,35.4,-11.0,6.4,,8.14,71.0,0.0,0.08,410516.0,1418.3,1042.5,ok
BAJAJ-AUTO,Bajaj Auto Limited,Consumer Cyclical,Automobile and Auto Components,26.385996,7.296588,27.7,26.1,16.9,37.0,103.1,0.56,55.01,17.7,,1.48,283112.0,10834.0,7858.5,ok
BAJFINANCE,Bajaj Finance Limited,Financial Services,Financial Services,33.635765,5.5597367,16.7,,43.4,26.8,21.4,3.13,54.7,26.9,0.0,0.53,633913.0,1102.5,787.9,ok
BAJAJFINSV,Bajaj Finserv Ltd.,Financial Services,Financial Services,31.296085,3.9140306,12.6,,6.6,5.3,5.7,2.56,58.71,15.5,0.0,0.07,305358.0,2195.0,1597.0,ok
BAJAJHLDNG,Bajaj Holdings & Investment Limited,Financial Services,Financial Services,12.280642,1.618137,13.2,,857.5,-48.3,49.3,0.0,51.46,12.6,,1.55,118383.0,14763.0,8588.0,ok
BANKBARODA,Bank of Baroda Limited,Financial Services,Financial Services,6.4267416,0.7822438,12.0,,31.2,-7.6,7.1,,63.97,20.7,0.0,3.54,129749.0,325.5,230.81,ok
BEL,Bharat Electronics Limited,Industrials,Capital Goods,49.98186,12.595606,25.3,31.9,22.0,11.7,4.5,0.0,51.14,28.9,0.0,1.07,302150.0,473.45,361.2,ok
BPCL,Bharat Petroleum Corporation Limited,Energy,Oil Gas & Consumable Fuels,5.0521,1.3239579,25.8,26.4,5.7,6.7,28.0,0.54,52.98,27.1,0.0,6.59,132578.0,391.65,266.6,ok
BHARTIARTL,Bharti Airtel Limited,Communication Services,Telecommunication,43.09894,7.500098,17.9,17.7,12.7,15.7,-34.0,1.0,50.07,34.3,0.0,0.85,1193019.0,2174.5,1740.5,ok
BOSCHLTD,Bosch Limited,Consumer Cyclical,Automobile and Auto Components,44.40711,8.297166,18.7,24.3,13.8,18.0,3.0,0.01,70.54,17.3,0.0,0.65,123176.0,42565.0,28610.0,ok
BRITANNIA,Britannia Industries Limited,Consumer Defensive,Fast Moving Consumer Goods,50.96912,25.30556,49.6,61.3,13.2,7.9,21.1,0.27,50.55,25.2,0.0,1.7,129214.0,6336.0,5035.0,ok
CGPOWER,CG Power and Industrial Solutions Limited,Industrials,Capital Goods,118.86305,18.178585,15.1,19.3,9.7,25.0,30.5,0.01,56.36,19.9,0.0,0.14,144898.0,980.9,525.5,ok
CANBK,Canara Bank,Financial Services,Financial Services,5.776686,0.9967324,16.7,,37.0,-46.7,-9.8,,62.93,17.9,0.0,3.47,117320.0,162.89,103.55,ok
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,Financial Services,Financial Services,28.858332,5.0432286,17.2,,39.8,24.1,29.1,6.93,49.25,36.7,0.0,0.08,154132.0,1875.0,1299.4,ok
CIPLA,Cipla Limited,Healthcare,Healthcare,29.863298,3.3824983,11.3,14.9,13.9,-2.1,-54.6,0.02,29.21,44.2,0.0,0.91,116475.0,1673.0,1165.7,ok
COALINDIA,Coal India Limited,Energy,Oil Gas & Consumable Fuels,8.467168,2.2149215,26.1,19.8,18.5,16.2,12.9,0.12,63.13,26.2,0.0,5.13,263826.0,491.25,368.65,ok
CUMMINSIND,Cummins India Limited,Industrials,Capital Goods,65.46385,18.394053,27.9,35.0,19.4,21.9,22.7,0.0,51.0,27.8,0.0,1.2,155897.0,6100.0,3465.0,ok
DLF,DLF Limited,Real Estate,Realty,36.975174,3.733096,9.7,6.4,53.9,-42.0,-1.1,0.01,74.08,13.6,0.0,0.95,169596.0,856.45,489.4,ok
DIVISLAB,Divi's Laboratories Limited,Healthcare,Healthcare,70.30021,10.748161,15.3,19.0,24.3,9.5,13.6,0.0,51.88,29.7,0.0,0.44,180280.0,6982.5,5636.5,ok
DRREDDY,Dr. Reddy's Laboratories Limited,Healthcare,Healthcare,24.229572,2.7502959,11.4,14.2,12.8,-11.6,-86.2,0.2,26.63,52.5,0.0,0.59,103706.0,1414.9,1148.4,ok
EICHERMOT,Eicher Motors Limited,Consumer Cyclical,Automobile and Auto Components,36.58476,8.037988,22.0,26.4,23.6,19.1,11.5,0.02,49.06,29.3,0.0,1.11,201893.0,8230.0,5353.0,ok
ETERNAL,Eternal Limited,Consumer Cyclical,Consumer Services,703.90247,8.531142,1.2,2.9,0.7,196.5,375.0,0.15,27.2,48.2,0.0,,265668.0,368.45,212.6,ok
GAIL,GAIL (India) Limited,Utilities,Oil Gas & Consumable Fuels,14.943916,1.2777667,8.5,9.1,5.4,-2.4,-40.3,0.28,51.88,27.1,0.0,7.39,113880.0,188.89,134.36,ok
GODREJCP,Godrej Consumer Products Limited,Consumer Defensive,Fast Moving Consumer Goods,59.18934,8.788057,14.7,21.4,12.3,8.4,9.7,0.35,53.05,21.9,0.0,1.86,111325.0,1309.0,967.05,ok
GRASIM,Grasim Industries Limited,Basic Materials,Construction Materials,43.372326,2.1139984,4.8,4.0,2.8,10.5,60.8,1.34,43.74,24.7,0.0,0.32,218751.0,3246.0,2502.5,ok
HCLTECH,HCL Technologies Limited,Technology,Information Technology,18.788517,4.136201,22.1,27.2,12.8,5.3,-0.2,0.07,60.86,28.4,0.0,8.38,313463.0,1780.1,1030.0,ok
HDFCAMC,HDFC Asset Management Company Limited,Financial Services,Financial Services,41.41847,12.781829,31.0,38.5,61.8,3.6,-2.8,0.02,52.37,26.4,0.0,2.03,118030.0,2967.25,2205.6,ok
HDFCBANK,HDFC Bank Limited,Financial Services,Financial Services,18.234905,2.1654391,8.8,,26.8,-1.8,7.5,,0.2,57.9,0.0,1.6,1269675.0,1020.5,726.65,ok
HDFCLIFE,HDFC Life Insurance Company Limited,Financial Services,Financial Services,63.993214,6.877226,10.8,,1.9,-17.7,4.1,0.28,50.21,29.9,0.0,0.38,122866.0,815.0,543.0,ok
HINDALCO,Hindalco Industries Limited,Basic Materials,Metals & Mining,16.24393,1.5769141,9.8,9.4,4.9,20.4,-50.9,0.73,34.64,38.1,0.0,0.51,215380.0,1176.0,657.5,ok
HAL,Hindustan Aeronautics Limited,Industrials,Capital Goods,33.028347,7.329597,22.2,13.8,27.5,1.8,5.5,0.0,71.64,15.4,0.0,0.46,300802.0,5034.0,3479.1,ok
HINDUNILVR,Hindustan Unilever Limited,Consumer Defensive,Fast Moving Consumer Goods,47.294327,10.364642,30.9,22.2,23.3,4.3,21.4,0.03,61.9,20.8,0.0,2.06,505162.0,2750.0,2022.5,ok
HINDZINC,Hindustan Zinc Limited,Basic Materials,Metals & Mining,16.427477,10.002614,61.1,62.0,35.1,43.0,67.5,0.39,60.71,5.5,,3.96,226350.0,733.0,413.5,ok
HYUNDAI,HYUNDAI MOTOR INDIA LTD,Consumer Cyclical,Automobile and Auto Components,29.653214,8.05519,27.1,32.6,7.7,4.8,-22.2,0.05,82.5,13.6,0.0,1.1,161192.0,2890.0,1658.0,ok
ICICIBANK,ICICI Bank Limited,Financial Services,Financial Services,18.719765,2.7629955,14.9,,24.9,66.9,8.4,,3.0,59.3,0.0,0.87,1004777.0,1500.0,1187.6,ok
ITC,ITC Limited,Consumer Defensive,Fast Moving Consumer Goods,16.975273,4.8635716,28.5,36.5,26.2,-5.0,-72.7,0.03,27.2,51.7,0.0,5.7,352642.0,427.0,275.05,ok
INDHOTEL,The Indian Hotels Company Limited,Consumer Cyclical,Consumer Services,50.494205,8.078324,16.0,17.4,20.9,14.3,14.7,0.19,38.12,35.1,0.0,0.45,105441.0,811.95,565.0,ok
IOC,Indian Oil Corporation Limited,Energy,Oil Gas & Consumable Fuels,4.5242596,0.8715234,19.2,20.7,5.4,6.7,78.1,0.58,51.5,12.5,0.0,5.99,196200.0,188.96,130.22,ok
IRFC,Indian Railway Finance Corporation Limited,Financial Services,Financial Services,16.605555,2.063134,12.4,1.4,97.2,0.5,,7.73,84.65,3.8,0.0,3.31,117185.0,138.94,86.93,ok
INFY,Infosys Limited,Technology,Information Technology,14.4156885,4.670769,33.9,41.7,16.4,6.6,11.8,0.1,14.38,51.6,0.0,4.68,433033.0,1728.0,982.4,ok
INDIGO,InterGlobe Aviation Limited,Industrials,Services,,29.40247,-34.3,4.0,3.8,6.2,-77.6,8.66,41.57,44.3,0.0,0.24,205049.0,6232.5,3895.2,ok
JSWSTEEL,JSW Steel Limited,Basic Materials,Metals & Mining,13.67792,3.0438092,22.3,18.7,12.0,14.2,991.7,0.95,45.32,17.4,,0.58,304542.0,1328.0,1017.4,ok
JINDALSTEL,Jindal Steel Limited,Basic Materials,Metals & Mining,31.81269,2.1045604,6.6,7.4,6.3,23.0,,0.44,62.69,21.8,,0.2,107141.0,1306.2,927.2,ok
JIOFIN,Jio Financial Services Limited,Financial Services,Financial Services,98.73878,1.1441287,1.2,1.6,57.8,39.4,-14.0,0.16,49.13,19.2,0.0,0.22,159737.0,338.6,223.3,ok
KOTAKBANK,Kotak Mahindra Bank Limited,Financial Services,Financial Services,19.202936,2.083482,10.6,,26.0,-11.0,9.8,,25.87,48.7,0.0,0.18,377419.0,453.2,345.5,ok
LTM,LTM Limited,Technology,Information Technology,22.76191,4.8285213,20.9,25.4,11.9,6.1,23.4,0.1,68.52,18.8,0.0,1.98,116005.0,6429.5,3528.0,ok
LT,Larsen & Toubro Limited,Industrials,Construction,33.769085,4.9552536,14.7,14.6,5.5,11.7,-34.5,0.98,18.1,49.3,0.0,0.98,541597.0,4440.0,3288.1,ok
LODHA,Lodha Developers Limited,Real Estate,Realty,32.762295,5.143791,14.7,18.1,20.6,7.6,9.4,0.42,72.27,16.3,0.0,0.38,119780.0,1461.5,650.8,ok
M&M,Mahindra & Mahindra Limited,Consumer Cyclical,Automobile and Auto Components,20.491037,3.746648,18.4,17.1,8.5,30.2,43.5,1.25,25.3,51.9,,1.06,374806.0,3839.9,2896.0,ok
MARUTI,Maruti Suzuki India Limited,Consumer Cyclical,Automobile and Auto Components,30.12242,4.064529,13.7,17.2,8.0,28.2,-6.4,0.0,58.53,28.9,0.0,1.0,435542.0,17370.0,12201.0,ok
MAXHEALTH,Max Healthcare Institute Limited,Healthcare,Healthcare,74.205605,10.056361,13.4,12.6,17.2,12.2,7.3,0.32,23.71,59.3,0.0,0.18,108186.0,1301.7,903.0,ok
MAZDOCK,Mazagon Dock Shipbuilders Limited,Industrials,Capital Goods,37.679802,9.96572,26.5,28.5,19.9,21.3,109.0,0.04,81.22,5.9,0.0,0.78,97215.0,3300.7,2057.4,ok
MUTHOOTFIN,Muthoot Finance Limited,Financial Services,Financial Services,11.822074,3.201279,27.1,,55.2,53.7,126.7,3.8,73.35,16.4,0.0,0.97,125266.0,4149.5,2476.6,ok
NTPC,NTPC Limited,Utilities,Power,11.4795065,1.6448311,13.3,9.3,14.4,8.0,-1.6,1.18,51.1,39.0,0.0,3.25,334050.0,414.4,315.55,ok
NESTLEIND,Nestlé India Limited,Consumer Defensive,Fast Moving Consumer Goods,80.30337,54.440414,76.3,,15.1,23.0,27.4,0.09,62.76,17.5,0.0,0.83,280743.0,1498.1,1084.7,ok
ONGC,Oil and Natural Gas Corporation Limited,Energy,Oil Gas & Consumable Fuels,7.5200124,0.82656515,11.1,12.9,6.3,1.9,47.8,0.43,58.89,23.1,0.0,7.49,307273.0,307.5,227.65,ok
PIDILITIND,Pidilite Industries Limited,Basic Materials,Chemicals,66.1548,14.940648,22.6,28.5,16.8,14.1,37.0,0.04,69.32,17.1,0.0,0.73,161796.0,1626.7,1259.0,ok
PFC,Power Finance Corporation Limited,Financial Services,Financial Services,5.158397,1.0070114,19.5,,54.3,-15.4,10.8,5.86,55.99,24.9,0.0,3.91,133803.0,486.5,329.9,ok
POWERGRID,Power Grid Corporation of India Limited,Utilities,Power,14.0726,2.6181643,15.8,10.7,34.1,-5.0,9.6,1.51,51.34,37.0,0.0,4.38,263207.0,324.95,250.0,ok
PNB,Punjab National Bank,Financial Services,Financial Services,6.429878,0.8081017,12.3,,31.2,15.2,1.9,,70.08,19.4,0.0,2.97,121193.0,135.15,98.5,ok
RECLTD,REC Limited,Financial Services,Financial Services,5.673401,1.1064832,19.2,,70.6,-14.4,-21.9,6.07,52.63,23.5,0.0,6.65,93177.0,408.25,304.05,ok
RELIANCE,Reliance Industries Limited,Energy,Oil Gas & Consumable Fuels,21.733177,1.9483718,8.9,9.0,7.6,12.5,-12.6,0.37,50.0,29.0,0.0,0.47,1761387.0,1611.8,1253.2,ok
SBILIFE,SBI Life Insurance Company Limited,Financial Services,Financial Services,73.313446,9.688594,12.9,,2.2,-82.2,-1.1,,55.33,31.0,0.0,0.15,184911.0,2132.0,1700.4,ok
MOTHERSON,Samvardhana Motherson International Limited,Consumer Cyclical,Automobile and Auto Components,38.57143,3.6816921,9.4,11.5,3.1,14.9,43.0,0.44,48.6,27.4,,0.36,150702.0,155.25,89.7,ok
SHREECEM,Shree Cement Limited,Basic Materials,Construction Materials,54.858418,10.408081,7.5,10.2,14.5,5.2,3.4,0.38,62.55,20.9,0.0,0.54,95903.0,32490.0,22550.0,ok
SHRIRAMFIN,Shriram Finance Limited,Financial Services,Financial Services,19.228212,2.9725497,15.2,,48.3,24.7,,2.76,20.3,59.6,0.0,1.36,245036.0,1108.0,566.5,ok
ENRIN,Siemens Energy India Limited,Utilities,Capital Goods,94.7253,25.904217,25.1,29.2,15.0,27.4,52.2,0.04,75.0,56.3,0.0,0.12,124646.0,3968.0,2115.0,ok
SIEMENS,Siemens Limited,Industrials,Capital Goods,73.69638,9.012206,15.9,16.5,9.2,14.6,-36.4,0.02,75.0,10.8,0.0,0.39,124820.0,3937.3,2826.0,ok
SOLARINDS,Solar Industries India Limited,Basic Materials,Chemicals,101.30719,26.142048,26.7,29.5,17.1,40.9,70.0,0.23,73.15,45.0,,0.06,164104.0,18972.0,11646.0,ok
SBIN,State Bank of India,Financial Services,Financial Services,11.298318,1.6021516,14.0,,22.1,7.1,-3.1,,55.52,29.4,0.0,1.71,955092.0,1234.7,786.55,ok
SUNPHARMA,Sun Pharmaceutical Industries Limited,Healthcare,Healthcare,39.37615,5.5451403,13.7,17.9,19.6,12.8,25.1,0.06,54.48,28.8,,0.85,463408.0,1953.9,1548.0,ok
TVSMOTOR,TVS Motor Company Limited,Consumer Cyclical,Automobile and Auto Components,56.952427,51.5879,31.6,28.8,5.4,31.3,19.1,3.06,50.27,30.1,0.0,0.33,172379.0,3970.0,2728.7,ok
TATACAP,TATA CAPITAL LIMITED,Financial Services,Financial Services,29.855371,3.3421843,10.6,2.0,39.0,7.0,52.2,5.02,85.41,4.3,0.0,,152328.0,379.95,296.0,ok
TCS,Tata Consultancy Services Limited,Technology,Information Technology,15.317783,7.001013,45.9,54.9,18.4,9.6,12.2,0.1,71.77,17.6,0.0,6.03,750789.0,3399.0,1976.8,ok
TATACONSUM,Tata Consumer Products Limited,Consumer Defensive,Fast Moving Consumer Goods,69.93051,5.3888803,7.1,8.3,7.6,17.9,21.5,0.12,33.83,34.4,0.0,0.92,109554.0,1282.7,1007.2,ok
TMCV,TATA MOTORS LIMITED,Consumer Cyclical,Capital Goods,50.804108,12.1497345,23.8,25.5,3.6,-37.8,-25.3,0.44,42.56,25.6,0.0,0.96,154720.0,509.0,306.3,ok
TMPV,Tata Motors Passenger Vehicles Limited,Consumer Cyclical,Automobile and Auto Components,,1.1007571,73.5,0.6,24.3,-11.8,-32.9,0.7,42.56,26.3,0.0,0.9,123367.0,739.7,294.3,ok
TATAPOWER,The Tata Power Company Limited,Utilities,Power,32.474403,3.0807087,9.5,8.5,6.0,-12.8,-4.6,1.68,46.86,22.4,0.0,0.67,121615.0,464.9,342.5,ok
TATASTEEL,Tata Steel Limited,Basic Materials,Metals & Mining,22.059027,2.3287554,10.6,11.3,4.7,12.5,125.2,0.89,33.19,34.5,0.0,2.13,237701.0,224.4,152.51,ok
TECHM,Tech Mahindra Limited,Technology,Information Technology,26.849796,4.3405066,16.2,19.8,8.5,12.6,15.8,0.07,34.97,43.5,0.0,3.57,128577.0,1854.0,1304.1,ok
TITAN,Titan Company Limited,Consumer Cyclical,Consumer Durables,80.32836,25.864029,32.3,38.4,5.8,80.5,35.1,1.95,52.9,22.0,0.0,0.33,405797.0,4679.8,3303.1,ok
TORNTPHARM,Torrent Pharmaceuticals Limited,Healthcare,Healthcare,76.58666,19.698853,25.8,9.1,15.5,41.8,-21.7,0.85,68.31,15.9,0.0,0.78,165243.0,4948.0,3309.4,ok
TRENT,Trent Limited,Consumer Cyclical,Consumer Services,90.83255,22.155464,24.6,28.2,8.6,19.2,25.8,0.36,37.01,30.6,0.0,0.14,154749.0,5674.0,2183.6667,ok
ULTRACEMCO,UltraTech Cement Limited,Basic Materials,Construction Materials,42.1501,4.7678766,10.7,11.9,9.2,3.0,45.3,0.29,59.33,21.9,0.0,0.68,343472.0,13110.0,10325.0,ok
UNIONBANK,Union Bank of India,Financial Services,Financial Services,6.376572,0.92794716,14.5,,39.7,,,,74.76,15.1,0.0,3.24,123832.0,205.49,124.64,ok
UNITDSPR,UNITED SPIRITS LIMITED,Consumer Defensive,Fast Moving Consumer Goods,57.65048,11.013569,20.5,25.5,14.7,0.8,28.0,0.05,56.67,25.1,,1.21,101021.0,1488.0,1210.8,ok
VBL,Varun Beverages Limited,Consumer Defensive,Fast Moving Consumer Goods,50.12592,8.251715,15.5,19.4,14.0,18.1,20.0,0.13,59.44,24.6,,0.42,161580.0,555.8,381.0,ok
VEDL,Vedanta Limited,Basic Materials,Metals & Mining,15.222965,2.1477556,42.6,21.3,22.6,-41.3,92.2,0.48,56.38,17.6,0.0,12.49,106640.0,795.0,268.7,ok
WIPRO,Wipro Limited,Technology,Information Technology,13.972929,2.0766773,14.9,17.8,14.2,7.7,-1.6,0.23,72.59,15.1,0.0,9.84,173604.0,273.1,169.0,ok
ZYDUSLIFE,Zydus Lifesciences Limited,Healthcare,Healthcare,23.006994,4.272474,18.6,19.2,18.6,16.2,8.7,0.42,75.01,15.0,0.0,0.09,114863.0,1181.5,835.5,ok
